text,sentiment,confidence,keywords,is_question
Cool stuff,Neutral,0.5,"cool, stuff",False
Don't care! And it is me you heard typing. The Germans are overpriced ...and no-one is paying 1.2 mil for a Kia.. same no-one is paying 1mil for and and oversize cx-5 yes CX-60 I am looking at you,Neutral,0.5,mil,True
"Hear me out, nobody pays 1m for a Kia 😂...",Neutral,0.5,m,False
Is the Cherry a front wheel drive ???  All the that torque?,Neutral,0.5,"wheel, drive, torque",True
"Kia mes good cars, but they are delusional if they think it will sell for that price without low range 4x4.",Neutral,0.5,"mes, good, cars, delusional, price, low, range",False
Kia is mad business... For that amount I'd consider a Mercedes v250d carries 7 and very spacious...,Neutral,0.5,"mad, business, v250d, spacious",False
Why are these Chinese manufacturers giving service plans instead of maintenance plans 😢,Neutral,0.5,"chinese, manufacturers, service, plans, maintenance, plans",True
Kia is going for rarity here. We'll see very few of them on the road. Chinese offering will always be a better option. You must really be inlove with Kia to spend such amount for a 2.0 Diesel 7 seater.,Neutral,0.5,"rarity, road, chinese, offering, better, option, inlove, seater",False
Hold my rice wine 😂😂😂😂😂😂😂😂,Neutral,0.5,"rice, wine",False
Speed limit is 120km 😢,Neutral,0.5,"speed, limit, km",False
Did Kia drink to much rice wine when they priced the Kia Sorento..... ?,Neutral,0.5,"rice, wine",True
So how quick is the chery really with 265kw? On the front wheels nogal,Neutral,0.5,"quick, chery, 265kw, wheels, nogal",True
The Sorento is nice but R1m-R1.3m is wild.,Neutral,0.5,"nice, r1m, wild",False
Justifying the Kia price because it is a 7 seater is a laughable. Surely it’s real competitor is a Chery Tiggo 8 Pro Max?,Neutral,0.5,"price, seater, laughable, real, competitor",True
The fastest vacuum cleaner,Neutral,0.5,"fastest, vacuum, cleaner",False
So i buy tiggo 7 csh i choose plus version,Neutral,0.5,"tiggo, csh, version",False
Hold my rice wine ? 😂😂😂😂 with a straight face..legend,Neutral,0.5,"rice, wine, straight, face, legend",True
Put that PHEV tech in the tiggo cross and we will start talking Chery,Neutral,0.5,"tech, cross",False
"No one is going to pay R1,2m for a KIA - Chinese is better and cheaper - no questions!",Neutral,0.5,"m, better, cheaper, questions",False
"Dave,  c'mon Bru.  You're justifying the Kia price based on overpriced German products.  Over a bar for that car is nuts.",Neutral,0.5,"price, german, products, bar, car, nuts",False
I dunno who hurt Mercedes because they dropping banging models every week recently. 😅,Neutral,0.5,"mercedes, models, week",False
The germans are currently struggling. It looks like kia wants to go down that route,Neutral,0.5,route,False
Talk about how Mercedes East London is shutting down for the month of July. That’s cars consumer journalism.,Neutral,0.5,"month, cars, consumer, journalism",False
"Love the Merc even though it'll never see the day of light 😢 practically, the Koreans and the Chinese are AFFORDABLE, wake up  GERMANS legacy can only go....... money talks and legacy BS just ain't enough 😊😮",Neutral,0.5,"day, light, germans, legacy, money, talks, legacy",False
“This crazy orange looking thing”😂😂😂😂,Neutral,0.5,"crazy, orange, thing",False
600k for a PHEV!! 🤯,Neutral,0.5,600k,False
Mercedes never learns,Neutral,0.5,mercedes,False
Eskom - PHEV 😂,Neutral,0.5,"car, review",False
How are the Chinese making actual cars that match or even surpass this Merc. The tech is already in Chinese cars so this is much ado about nothing.,Neutral,0.5,"actual, cars, tech, chinese, cars, ado",True
Kia has lost thier minds! Maybe they are looking for a reason to exit the market.,Neutral,0.5,"thier, minds, reason, market",False
